LC#,Problem Name,Difficulty,Why It's Hard (Solution Lens),Meta,Google,Amazon,Uber,Netflix,Pattern
305,Number of Islands II,Hard,Online DSU with coordinate hashing; union 4 neighbors on each add; keep rolling count increment. when merged decrement (union succeed),✓,✓,✓,,,DSU
399,Evaluate Division,Hard,Weighted DSU with ratio propagation; find product of path from a to b,✓,✓,✓,✓,,DSU
685,Redundant Connection II,Hard,DSU + directed edge case analysis; one of 3 structural scenarios. A rooted tree has only one node with 0 incoming,,✓,✓,,,DSU
765,Couples Holding Hands,Hard,DSU cycle counting; swaps = n_pairs - components; elegant insight,,✓,✓,,,DSU
839,Similar String Groups,Hard,DSU with O(n^2 * L) union on similarity check; small n saves it,✓,✓,✓,,,DSU
924,Minimize Malware Spread,Hard,DSU component sizes; find component with only one initial infected node,,✓,✓,,,DSU
1202,Smallest String With Swaps,Hard,DSU components then sort chars within each component independently,✓,,✓,,,DSU
1579,Remove Max Edges to Keep Graph Fully Traversable,Hard,"Two DSUs (Alice, Bob); add type-3 first; count redundant edges across both",✓,✓,✓,,,DSU
2709,Greatest Common Divisor Traversal,Hard,DSU via shared prime factors; similar to LC 952 but check full connectivity,✓,✓,✓,,,DSU
952,Largest Component Size by Common Factor,Brutal,DSU: union each number with all its prime factors; factor to number links,,✓,✓,,,DSU
1632,Rank Transform of a Matrix,Brutal,Group cells by value; DSU cells sharing row/col; rank = max rank in component + 1,,✓,✓,,,DSU
132,Palindrome Partitioning II,Hard,DP min cuts + Manacher or expand-around-center for palindrome check; O(n^2),✓,✓,✓,,,1-D DP
264,Ugly Number II,Hard,"Three-pointer DP; separately track next multiple of 2, 3, 5; merge step",✓,✓,✓,,,1-D DP
639,Decode Ways II,Hard,"DP with * wildcard cases: 1-9 for single, 11-19/21-26 for double; modular",✓,✓,✓,,,1-D DP
801,Minimum Swaps To Make Sequences Increasing,Hard,DP with swap/keep states; transitions depend on both strict increase conditions,✓,✓,✓,,,1-D DP
940,Distinct Subsequences II,Hard,DP end[c] = total valid subsequences ending in char c; subtract on revisit,,✓,✓,,,1-D DP
1027,Longest Arithmetic Subsequence,Hard,DP hashmap per index: dp[i][diff] = length; O(n^2) with map per element,✓,✓,✓,,,1-D DP
1425,Constrained Subsequence Sum,Hard,Deque DP: keep max dp value in window of size k; monotonic deque O(n),✓,✓,✓,,,1-D DP
1048,Longest String Chain,Hard,"Sort by length; DP: for each word try removing each char, lookup predecessor",✓,✓,✓,,✓,1-D DP
2140,Solving Questions With Brainpower,Hard,Reverse DP; dp[i] = max from i onwards; either skip or take + dp[i+b+1],✓,✓,✓,,,1-D DP
2369,Check if There is a Valid Partition,Hard,"DP boolean; 3 base cases: pair equal, triple equal, triple consecutive",✓,,✓,,,1-D DP
474,Ones and Zeroes,Hard,"2D 0-1 knapsack (m zeros, n ones budget); iterate backwards to avoid reuse",✓,✓,✓,,,Knapsack DP
494,Target Sum,Hard,"Reduce to subset-sum: P - N = target, P + N = sum; find P; or 2D DP",✓,✓,✓,,,Knapsack DP
1049,Last Stone Weight II,Hard,Partition into two groups min |S1-S2|; 0-1 knapsack up to sum/2,✓,✓,✓,,,Knapsack DP
1155,Number of Dice Rolls With Target Sum,Hard,Bounded knapsack: dp[i][j] = ways using i dice summing to j; rolling window,,✓,✓,,,Knapsack DP
1449,Form Largest Integer With Digits That Add Up to Target,Hard,"Unbounded knapsack maximizing length first, then lexicographic digit; two-pass",,✓,✓,,,Knapsack DP
2218,Maximum Value of K Coins From Piles,Hard,"Prefix sum per pile + 2D knapsack: dp[i][j] = best using first i piles, j coins",✓,✓,✓,,,Knapsack DP
2585,Number of Ways to Earn Points,Hard,Bounded knapsack: each type has count limit; group knapsack variant,,✓,✓,,,Knapsack DP
2915,Length of Longest Subsequence That Sums to Target,Hard,0-1 knapsack tracking max length; -inf for unreachable states,✓,,✓,,,Knapsack DP
879,Profitable Schemes,Brutal,2D bounded knapsack: dp[members][profit]; profit dimension capped at minProfit,,✓,✓,,,Knapsack DP
1655,Distribute Repeating Integers,Brutal,Bitmask DP on customer subsets; knapsack over quantities to cover each subset,,✓,✓,,,Knapsack DP
300,Longest Increasing Subsequence,Hard,Must know O(n log n) patience sort; O(n^2) not acceptable at FAANG,✓,✓,✓,✓,✓,LIS Pattern
368,Largest Divisible Subset,Hard,LIS on sorted array with divisibility; track parent pointers for reconstruction,,✓,✓,,,LIS Pattern
646,Maximum Length of Pair Chain,Hard,Sort by end; greedy O(n log n) or LIS on end values; interval-LIS fusion,✓,✓,✓,,,LIS Pattern
673,Number of Longest Increasing Subsequence,Hard,DP with count array alongside length array; carefully update both,✓,✓,✓,,,LIS Pattern
1671,Min Removals to Make Mountain Array,Hard,LIS from left + LIS from right; peak must have both > 0; O(n log n),✓,✓,✓,,,LIS Pattern
1964,Find the Longest Valid Obstacle Course,Hard,Online LIS (non-strict) using bisect_right; answer per position,✓,✓,✓,,,LIS Pattern
2111,Minimum Operations to Make Array K-Increasing,Hard,Split into k subsequences; each needs min replacements = len - LIS length,,✓,✓,,,LIS Pattern
2370,Longest Ideal Subsequence,Hard,DP with freq array over 26 chars; range max query O(26) per char = O(26n),✓,✓,✓,,,LIS Pattern
1626,Best Team With No Conflicts,Hard,Sort by age then score; LIS variant maximizing sum instead of length,✓,✓,✓,,,LIS Pattern
354,Russian Doll Envelopes,Brutal,"Sort w asc, h desc; LIS on h only; desc trick avoids counting same-width",✓,✓,✓,,,LIS Pattern
2407,Longest Increasing Subsequence II,Brutal,Segment tree range-max query + update; O(n log n) but segment tree required,,✓,✓,,,LIS Pattern
375,Guess Number Higher or Lower II,Hard,"Minimax interval DP; worst-case cost when guessing k in [i,j]",,✓,✓,,,Interval DP
486,Predict the Winner,Hard,Interval DP game theory; dp[i][j] = max score difference for current player,✓,✓,✓,,✓,Interval DP
664,Strange Printer,Hard,"Interval DP; if s[i]==s[j], extend i's print to j; O(n^3)",✓,✓,✓,,,Interval DP
1000,Minimum Cost to Merge Stones,Hard,Interval DP: only merge when (r-l) % (K-1) == 0; O(n^3/K),,✓,✓,,,Interval DP
1039,Minimum Score Triangulation of Polygon,Hard,"Interval DP on polygon vertices; fix one edge, pick apex k inside",,✓,✓,,,Interval DP
1246,Palindrome Removal,Hard,"Interval DP; dp[i][j]; if palindrome extend, else split; base on a[i]==a[j]",,✓,✓,,,Interval DP
1547,Minimum Cost to Cut a Stick,Hard,"Classic interval DP; add endpoints; dp[i][j] = min cost to cut segment [i,j]",✓,✓,✓,,,Interval DP
312,Burst Balloons,Brutal,"Interval DP: last balloon to burst, not first; dp[i][j] = max coins for range",✓,✓,✓,,,Interval DP
471,Encode String with Shortest Length,Brutal,Interval DP + KMP repeat detection; encode[i][j] via split or repeat compression,,✓,,,,Interval DP
546,Remove Boxes,Brutal,3D interval DP: dp[l][r][k] = max points with k same-color boxes appended left,,✓,✓,,,Interval DP
730,Count Different Palindromic Subsequences,Brutal,Interval DP with char-specific expansion; handle duplicate and disjoint cases,,✓,,,,Interval DP
72,Edit Distance,Hard,Classic 2D DP; follow-up: O(n) space rolling array and path reconstruction,✓,✓,✓,✓,✓,String DP
97,Interleaving String,Hard,2D DP dp[i][j]: can form s3[:i+j] using s1[:i] and s2[:j]; tricky init,✓,✓,✓,,,String DP
115,Distinct Subsequences,Hard,DP counting: dp[i][j] = ways s[:i] contains t[:j] as subsequence; large numbers,✓,✓,✓,,,String DP
132,Palindrome Partitioning II,Hard,1D DP min cuts; precompute palindrome table via expand or Manacher,✓,✓,✓,,,String DP
140,Word Break II,Hard,Memoized DFS; cache list of sentences from each position; exponential without memo,✓,✓,✓,✓,✓,String DP
1312,Minimum Insertion Steps to Make a String Palindrome,Hard,"LCS of s and reverse(s); insertions = n - LCS(s, rev_s); neat reduction",✓,✓,✓,,,String DP
1458,Max Dot Product of Two Subsequences,Hard,"LCS variant; dp[i][j] = max dot product using subsequences ending at i,j",,✓,✓,,,String DP
1143,Longest Common Subsequence,Hard,Foundation; FAANG asks with reconstruction or n^2 to n log n optimization follow-up,✓,✓,✓,✓,✓,String DP
10,Regular Expression Matching,Brutal,"DP on (i,j) pairs; * means 0 or more of preceding; 4 transition cases",✓,✓,✓,,,String DP
44,Wildcard Matching,Brutal,DP similar to 10 but * matches any sequence; simpler transitions than regex,✓,✓,✓,,,String DP
1639,Number of Ways to Form Target String From Dictionary,Brutal,DP: col_freq[j][c] precomputed; dp[i][j] = ways to form target[:i] using cols[:j],✓,✓,✓,,,String DP
174,Dungeon Game,Hard,Reverse DP bottom-right to top-left; forward DP fails due to negative spiral,✓,✓,✓,,,2-D Grid DP
